listing_id,title,description,address,detail_url,department_slug,department,city,neighborhood,locality,zone,latitude,longitude,price_cop,admin_fee_cop,bedrooms,bathrooms,area_m2,area_built_m2,stratum,floor,floors_count,antiquity,construction_year,garages,amenities,is_new_project,owner_type,owner_name,image_count,main_image_url,listing_created_at,listing_updated_at,source_page,scraped_at
193218175,"Duna, Apartamento en Venta en Zona industrial, Ibagué","DUNA: Tu Nuevo Hogar en Hacienda Santa Cruz

Ubicado en el sector de mayor proyección urbana de Ibagué, junto al Parque Deportivo y dentro del Plan Parcial Santa Cruz II, DUNA combina ubicación estratégica, calidad constructiva y zonas comunes tipo club para transformar la manera en que vives o inviertes.

Descubre por qué DUNA es la mejor opción para tu familia.


Aquí, las parejas que buscan su primera vivienda descubren un hogar pensado para su bienestar: apartamentos amplios de 56 m², balcones, zonas verdes, espacios para niños, gimnasio, terrazas BBQ y piscinas que crean un entorno de vida moderno, seguro y familiar.
Y para quienes buscan invertir con inteligencia, DUNA ofrece un proyecto de gran escala, alta demanda de arriendo y una valorización proyectada gracias al desarrollo urbano y nuevos corredores viales que se consolidan en la zona.
En DUNA encuentras más que un proyecto VIS: encuentras estabilidad, crecimiento y un mejor futuro.
Tu vida y tus oportunidades comienzan aquí.","Vía Aeropuerto Perales, Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/duna-apartamento-en-venta-en-zona-industrial-ibague/193218175,tolima,Tolima,Ibagué,Zona industrial,,Bolivar,4.4266125,-75.1627669,257000000,0,2,1,56,56,3,,0,,,0,,True,desarrollador,AMARILO,4,https://cdn2.infocasas.com.uy/repo/img/6944b4e2b2557_infocdn__lynteuoi7l4yrcmzn7l1o9cnesyx5b83vrv5vxeijpg.jpg,2025-12-18,2026-03-27,1,2026-07-03T17:36:48.148545+00:00
6914927,"ALBA, Apartamento en Venta en Hacienda Santa Cruz, Ibagué","El proyecto Alba contará con 560 unidades de vivienda VIP, agrupadas en 28 torres de 5 pisos. Las zonas comunes incluyen: Portería con Lobby doble altura, piscina para adultos y niños, cuarto de empleados, salón comunal, salón de juegos, salón disponible, cuarto de basuras, oficina de administración, baños de mujeres, hombres y personas con movilidad reducida, cuartos técnicos de energía y suministro de agua, tanque de reserva de agua, parque infantil, gimnasio al aire libre, zonas verdes..",Avenida Perales a 400 metros antes de Puerto Mojarra,https://www.fincaraiz.com.co/alba-apartamento-en-venta-en-hacienda-santa-cruz-ibague/6914927,tolima,Tolima,Ibagué,Hacienda Santa Cruz,,Bolivar,4.42625665664673,-75.1647644042969,98282250,0,2,1,40,0,2,0,0,0,,0,Gimnasio; Parqueadero Visitantes; Piscina; Salón de Juegos; Zonas Verdes,True,desarrollador,AMARILO,11,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2021/12/15/3463906_46_0.jpg#HASTH,2021-12-15,2025-02-17,1,2026-07-03T17:36:48.148597+00:00
10732172,"Apartamento en venta en Picaleña y Mirolindo, Ibagué","HERMOSO Y AMPLIO APARTAMENTO CONJUNTO IBAGUÉ EN VENTA. ÁREA TOTAL: 73 m2 (Ascensor doble + parqueadero privado subterráneo). Zona residencial con vías alternas de fácil acceso - con alta valorización. Apartamento con excelentes acabados, cuenta con tres (3) habitaciones con closet, sala - comedor amplios, cocina semi - integral, zona de lavandería anexa, dos (2) baños con ducha, con balcón amplio. Estrato 4 y administración $300.000. El conjunto cuenta con zonas sociales: ascensores dobles, piscina adultos-niños, salón de eventos amplio, parque infantil, senderos verdes, gimnasio, depósito para basuras, parqueadero visitantes, jacuzzi, turco, sauna, canchas alternas: de fútbol, Volleyball, tenis y baloncesto en cemento, 2 porterías-recepción con cámaras de seguridad y vigilancia privada las 24 horas. PRECIO DE VENTA: $ ***M. Son Negociables!!! (Dependiendo la manera de pago). CONTACTAR DIRECTAMENTE (Llamadas y WhatsApp).",CL 83 # 5 Sur - 484,https://www.fincaraiz.com.co/apartamento-en-venta-en-picaleña-y-mirolindo-ibague/10732172,tolima,Tolima,Ibagué,Picaleña y Mirolindo,,Bolivar,4.4262954027718,-75.1857749206543,280000000,300000,3,2,73,73,4,7,12,2,,1,Ascensor; Balcón; Barra estilo americano; Baño Auxiliar; Cancha de Tennis; Canchas Deportivas; Circuito cerrado de TV; Citófono; Cocina Integral; Colegios / Universidades; Comedor auxiliar; Cuarto de Escoltas; En conjunto cerrado; Estudio; Garaje(s); Gimnasio; Hall de Alcobas; Instalación de gas; Jardín; Oficina de negocios; Parqueadero Visitantes; Parques cercanos; Piscina; Piso en Baldosa /  Mármol; Planta Eléctrica; Portería / Recepción; Sala de internet; Salón Comunal; Salón de Juegos; Sauna / Turco / Jacuzzi; Sobre vía principal; Supermercados / C.Comerciales; Terraza; Vigilancia; Vista panorámica; Vivienda Bifamiliar; Vivienda Multifamiliar; Zona Campestre; Zona Comercial; Zona de lavandería; Zona Infantil; Zona Residencial; Zonas Verdes,False,inmobiliaria,DIEGO VARGAS,30,https://s3.amazonaws.com/static-prod-asset.fincaraiz.com.co/site/fincaraiz_service/media/listing/d526438b-c871-4bc5-8fc3-3545fb113c46/photos/d526438b-c871-4bc5-8fc3-3545fb113c46_1_True_24ab7a42-635e-43e4-974b-a05b66f3256d.jpg,2024-03-29,2026-06-13,1,2026-07-03T17:36:48.148631+00:00
6677425,"OIKOS PALMA REAL, Apartamentos en Venta en Flandes","¡PRECIO FIJO EN PESOS!
Oikos Palma Real es un proyecto campestre de apartamentos VIS de 3 alcobas con balcón, ubicado en FLANDES, es una excelente opción para aquellos que buscan una vida cómoda y llena de diversión. Entre las amenidades más destacadas se encuentran su club house con habitaciones tipo Hotel, cancha de tenis, gimnasio semi dotado, zona de juegos infantiles, amplias zonas verdes. Además, el proyecto está ubicado cerca de las principales vías de acceso, lo que permite un fácil acceso a una gran variedad de servicios y establecimientos comerciales. 
*Relación parqueaderos 1 a 1
*APLICA SUBSIDIOS DE CAJA DE COMPENSACIÓN. 
*SEPARA CON 2 MILLONES
*Plazo de hasta 17 meses para pago cuota inicial.","OIKOS Palma Real - Apartamentos Flandes, 300 mtr antes del puente de la variante El, Topacio, El Espinal, Tolima, Colombia",https://www.fincaraiz.com.co/proyectos-vivienda/oikos-palma-real-apartamentos-en-venta-en-flandes/6677425,tolima,Tolima,Flandes,Flandes,,,4.2625458,-74.8324303,224084850,0,3,2,57.15,57.15,3,,0,,,0,"Zonas Verdes
; Zona Residencial
; Zona Infantil
; Zona Comercial
; Zona Campestre
; Trans. Público cercano
; Supermercados / C.Comerciales
; Sobre vía secundaria
; Servicios Públicos
; Salón Comunal
; Portería / Recepción
; Piscina
; Parqueadero Visitantes
; Locales comerciales
; Local Exterior
; Kiosko
; Gimnasio
; Garaje / Parqueadero(s)
; Escalera de Emergencia
; En conjunto cerrado
; Cerca centro comercial
; Cerca a sector comercial
; Canchas Deportivas
; Cancha de Tennis
; Cancha de Futbol
; Cancha de Baloncesto
; Cableado de Red
; Ascensores Comunales
; Acceso Pavimentado
; Sauna / Turco / Jacuzzi",True,desarrollador,GRUPO EMPRESARIAL OIKOS,14,https://cdn2.infocasas.com.uy/repo/img/6a32c0f454a3f_infocdn__3iycaj92w5lnzidqjdpb1sscqd4uspkqbhw5jq8bjpg.jpg,2021-09-13,2026-06-17,1,2026-07-03T17:36:48.148659+00:00
193326602,Apartamento en Venta en Ibagué,"VENDO APARTAMENTO PARA ESTRENAR UBICADO EN EL CONJUNTO FONTANA CAMPESTRE, CERCA AL CLUB CAMPESTRE, PISO 6 , CONSTA DE  SALA COMEDOR CON BALCON CON EXCELENTE VISTA ZONA VERDE, COCINA INTEGRAL, ZONA DE ROPAS INDEPENDIENTE, 3 ALCOBAS CON CLOSET, LA PRINCIPAL CON BAÑO PRIVADO, 1 BAÑO SOCIAL, ESPACIO PARA ESTUDIO Y GARAJE.

EL CONJUNTO CUENTA CON AMPLIAS ZONAS DE ESPARCIMIENTO COMO  SALON SOCIAL , JUEGOS INFANTILES, GIMNASIO, CANCHA DE BALONCESTO, PARQUE DE MASCOTAS, TERRAZA, PARQUE ACUATICO , CANCHA DE FUTBOL 5, PARQUE BIO SALUDABLE, AREA BBQ, SKATE PARK.

EL CONJUNTO SE ENCUENTRA UBICADO CERCA A VIAS PRINCIPALES, CENTROS DE RECREACION, CENTROS DE ESTUDIO, ENTRE OTROS.",Calle 136 # 19A sur - 280 CONJUNTO FONTANA CAMPESTRE,https://www.fincaraiz.com.co/apartamento-en-venta-en-ibague/193326602,tolima,Tolima,Ibagué,Ibagué,,,4.4014396709987,-75.154166221619,330000000,0,3,2,59,59,3,6,0,2,,1,,False,inmobiliaria,BOLSA INMOBILIARIA DEL TOLIMA SAS,30,https://cdn2.infocasas.com.uy/repo/img/69c599c775737_infocdn__gr626683920260127092609jpg.jpg,2026-01-27,2026-06-29,1,2026-07-03T17:36:48.148680+00:00
6915016,"VENTUM, Apartamento en Venta en Hacienda Santa Cruz, Ibagué",[PLACEHOLDER],[PLACEHOLDER],https://www.fincaraiz.com.co/ventum-apartamento-en-venta-en-hacienda-santa-cruz-ibague/6915016,tolima,Tolima,Ibagué,Hacienda Santa Cruz,,Bolivar,4.426513671875,-75.1649398803711,175500000,0,2,1,56,0,3,0,0,0,,0,Cómodas vias de acceso; Gimnasio; Salón Comunal; Salón de Juegos; Zona de BBQ,True,desarrollador,AMARILO,17,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2021/12/15/3463966_635_12.jpg#HASTH,2021-12-15,2025-02-17,1,2026-07-03T17:36:48.148701+00:00
10905939,"Valto, Apartamentos en Venta en Zona industrial, Ibagué","El nuevo proyecto VIP de Amarilo en Hacienda Santa Cruz, Ibagué. Encuentra en Valto el hogar ideal que sueñas para ti y tu familia, nuestro innovador proyecto de vivienda de interés prioritario en Ibagué, desarrollado por Constructora Amarilo. Valto ofrece un espacio donde los residentes podrán disfrutar de un entorno cómodo, sostenible y seguro, con todas las facilidades para vivir una vida plena y tranquila en la ciudad musical de Colombia. Este proyecto hace parte del gran macroproyecto Hacienda Santa Cruz, un gran desarrollo diseñado bajo el concepto de “Ciudad dentro de la ciudad” que ofrece todas las comodidades para tener una mejor calidad de vida. Este proyecto está situado cerca de importantes lugares como: el Aeropuerto Perales, el Parque Deportivo de Ibagué, La Milla de Oro, la prestigiosa Clínica Medicadiz, Homecenter y diversos supermercados como Makro y Almacenes Éxito. Entre las zonas comunes tenemos piscina para niños y adultos, parque infantil, salón social entre otras.","CRGQ+F5R Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/proyectos-vivienda/valto-apartamentos-en-venta-en-zona-industrial-ibague/10905939,tolima,Tolima,Ibagué,Zona industrial,,Bolivar,4.42623750000000000000,-75.16210940000000000000,130250000,0,2,1,40,0,2,,0,,,0,Portería / Recepción; Piscina; Zonas Verdes,True,desarrollador,AMARILO,2,https://s3.amazonaws.com/static-prod-asset.fincaraiz.com.co/site/fincaraiz_service/media/listing/18dfc337-2961-4b89-92db-433933533bc5/photos/18dfc337-2961-4b89-92db-433933533bc5_1_True_833e88b3-02a1-4641-8053-04657c2926e2.jpg,2024-05-21,2026-03-16,1,2026-07-03T17:36:48.148721+00:00
6515952,"TERRA, Apartamento en Venta en Zona industrial, Ibagué",[PLACEHOLDER],[PLACEHOLDER],https://www.fincaraiz.com.co/terra-apartamento-en-venta-en-zona-industrial-ibague/6515952,tolima,Tolima,Ibagué,Zona industrial,,Bolivar,4.42754030227661,-75.1637344360352,156600000,0,2,1,56,0,3,0,0,0,,0,Gimnasio; Parques cercanos; Piscina; Portería / Recepción; Restaurantes; Salón Comunal; Servicios Públicos; Terraza; Ventilación Natural; Zona Infantil; Zonas Verdes,True,desarrollador,AMARILO,20,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2021/7/19/3209499_535_10.jpg#HASTH,2021-07-19,2025-02-17,1,2026-07-03T17:36:48.148741+00:00
15017571,"PALMA REAL, Apartamentos en Venta en Picaleña y Mirolindo, Ibagué","PalmaReal es un proyecto de vivienda de interés social (VIS) que ofrece una combinación de casas y apartamentos diseñados para brindar confort y calidad de vida. La primera etapa incluye la construcción de 164 unidades, distribuidas en 2 torres de 7 pisos con un total de 140 apartamentos, además de 24 casas de dos pisos.
El proyecto está diseñado para ofrecer una amplia gama de zonas comunes pensadas en el bienestar de sus residentes como: Gimnasio, coworking, salón de juegos, salón social, terraza con BBQ y piscina para adultos y niños. También dispone de un parque infantil, cancha múltiple y parqueadero para vehículos, motocicletas y bicicletas","Samán - Arboleda del Campestre, Calle 160, Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/proyectos-vivienda/palma-real-apartamentos-en-venta-en-picaleña-y-mirolindo-ibague/15017571,tolima,Tolima,Ibagué,Picaleña y Mirolindo,,,4.389225,-75.1374239,297000000,0,2,1,60,60,3,,0,,,0,"Zonas Verdes
; Zona Infantil
; Portería / Recepción
; Piscina
; Gimnasio",True,desarrollador,CONSTRUCTORA BOLIVAR,9,https://cdn2.infocasas.com.uy/repo/img/68768973f2d92_infocdn__b2furtovdnxpg6pebqvdn4ymiax2tet33i6vfav6png.png,2025-07-15,2026-06-18,1,2026-07-03T17:36:48.148760+00:00
193715502,"Apartamento en Venta en Zona industrial, Ibagué","¡Deja de pagar arriendo y estrena en Ibagué! 
Invertir en Ventum es asegurar tu futuro en un megaproyecto planeado con senderos verdes, ciclorrutas y hasta su propia iglesia. 
Apartamento de 56m² con opción de hasta 3 habitaciones 
Precios accesibles: Proyecto Tope VIS. 
Ubicación: Hacienda Santa Cruz, la zona con más proyección del Tolima. 
Diversión total: Portería tipo lobby, salón de juegos y zonas verdes. 
¡Aprovecha los subsidios y haz realidad tu sueño hoy mismo!","CRGP+PGV Ibagué, Tolima, Colombia",https://www.fincaraiz.com.co/apartamento-en-venta-en-zona-industrial-ibague/193715502,tolima,Tolima,Ibagué,Zona industrial,,Bolivar,4.4268625,-75.1637031,207600000,0,3,1,56,56,3,0,0,1,,1,Colegios / Universidades; Gimnasio; Piscina; Portería / Recepción; Salón Comunal; Salón de Juegos; Zona Infantil; Zona Residencial; Zonas Verdes,False,inmobiliaria,AMARILO,18,https://cdn2.infocasas.com.uy/repo/img/69fb7f2d72d50_infocdn__iare7igxoutpakdpohidzj2wzpwypbsoqupqeruujpg.jpg,2026-05-06,2026-06-09,1,2026-07-03T17:36:48.148782+00:00
